Id;Lon;Lat;Z_DSM;Bearing;DistanceValue;DistanceUnit;Z_sampled;dZ
99;0;0;83.5;215.6165;7.1337;m;;
100;0;0;83.5;215.6166;7.8351;m;;
101;0;0;83.5;215.6166;6.3736;m;;
102;0;0;83.5;215.6166;7.9367;m;;
103;0;0;83.5;215.6167;6.705;m;;
104;0;0;83.5;215.6167;7.0814;m;;
105;0;0;83.5;215.6167;7.5861;m;;
106;0;0;83.5;215.6168;6.5344;m;;
107;0;0;83.5;215.6168;6.7199;m;;
108;0;0;83.5;215.6168;7.0147;m;;
109;0;0;83.5;215.6169;6.9086;m;;
110;0;0;83.5;215.6169;7.8748;m;;
111;0;0;83.5;215.6169;8.0742;m;;
112;0;0;83.5;215.617;6.5617;m;;
113;0;0;83.5;215.617;6.6749;m;;
114;0;0;83.5;215.617;6.5713;m;;
115;0;0;83.5;215.617;6.7684;m;;
116;0;0;83.5;215.6171;6.2686;m;;
117;0;0;83.5;215.6171;6.36;m;;
118;0;0;83.5;215.6171;7.6887;m;;
119;0;0;83.5;215.6172;7.7143;m;;
120;0;0;83.5;215.6172;6.7918;m;;
121;0;0;83.5;215.6172;7.6969;m;;
122;0;0;83.5;215.6173;6.3674;m;;
123;0;0;83.5;215.6173;7.9361;m;;
124;0;0;83.5;215.6173;7.5593;m;;
125;0;0;83.5;215.6174;7.3497;m;;
126;0;0;83.5;215.6174;7.82;m;;
127;0;0;83.5;215.6174;6.4969;m;;
128;0;0;83.5;215.6174;7.2437;m;;
129;0;0;83.5;215.6175;6.7481;m;;
130;0;0;83.5;215.6175;6.8272;m;;
131;0;0;83.5;215.6175;7.4621;m;;
132;0;0;83.5;215.6176;6.9127;m;;
133;0;0;83.5;215.6176;7.2184;m;;
134;0;0;83.5;215.6176;8.0974;m;;
135;0;0;83.5;215.6177;7.9241;m;;
136;0;0;83.5;215.6177;6.7443;m;;
137;0;0;83.5;215.6177;7.2049;m;;
138;0;0;83.5;215.6178;6.3744;m;;
139;0;0;83.5;215.6178;6.7858;m;;
140;0;0;83.5;215.6178;6.3798;m;;
141;0;0;83.5;215.6178;7.0445;m;;
142;0;0;83.5;215.6179;8.0365;m;;
143;0;0;83.5;215.6179;6.1277;m;;
144;0;0;83.5;215.6179;7.1232;m;;
145;0;0;83.5;215.618;6.5622;m;;
146;0;0;83.5;215.618;7.4581;m;;
147;0;0;89.7018;215.618;7.7824;m;;
148;0;0;89.7018;215.6181;6.8911;m;;
149;0;0;87.3897;215.6181;7.6662;m;;
150;0;0;87.3897;215.6181;6.8694;m;;
151;0;0;87.3897;215.6182;7.1934;m;;
152;0;0;87.3897;215.6182;7.9283;m;;
153;0;0;87.3897;215.6182;8.086;m;;
154;0;0;83.5;215.6183;7.4027;m;;
155;0;0;83.5;215.6183;7.2583;m;;
156;0;0;91.0325;215.6183;8.0916;m;;
157;0;0;91.0325;215.6184;7.2303;m;;
158;0;0;91.0325;215.6184;6.4199;m;;
159;0;0;90.0522;215.6184;7.0111;m;;
160;0;0;90.0522;215.6185;8.0862;m;;
161;0;0;91.4888;215.6185;7.1669;m;;
162;0;0;91.4888;215.6185;6.1104;m;;
163;0;0;91.4888;215.6185;6.883;m;;
164;0;0;91.8343;215.6186;6.8359;m;;
165;0;0;91.8343;215.6186;7.9318;m;;
166;0;0;91.8343;215.6186;6.7863;m;;
167;0;0;91.8343;215.6187;6.2675;m;;
168;0;0;91.8343;215.6187;8.045;m;;
169;0;0;91.8343;215.6187;8.0735;m;;
170;0;0;91.5266;215.6188;6.1379;m;;
171;0;0;91.5266;215.6188;7.0738;m;;
172;0;0;91.5266;215.6188;6.856;m;;
173;0;0;91.5266;215.6188;6.7221;m;;
174;0;0;91.5266;215.6189;7.2483;m;;
175;0;0;91.7917;215.6189;7.1007;m;;
176;0;0;91.7917;215.6189;7.4421;m;;
177;0;0;91.7917;215.619;7.8512;m;;
178;0;0;91.7917;215.619;7.3268;m;;
179;0;0;91.7917;215.619;7.3047;m;;
180;0;0;91.4457;215.6191;6.3224;m;;
181;0;0;91.4457;215.6191;7.7639;m;;
182;0;0;91.4457;215.6191;6.8289;m;;
183;0;0;91.4457;215.6192;6.5567;m;;
184;0;0;91.4275;215.6192;7.6742;m;;
185;0;0;91.4275;215.6192;7.1008;m;;
186;0;0;91.318;215.6192;6.7496;m;;
187;0;0;91.318;215.6193;6.491;m;;
188;0;0;91.318;215.6193;6.817;m;;
189;0;0;91.7579;215.6193;6.8379;m;;
190;0;0;91.7579;215.6194;7.8056;m;;
191;0;0;91.5589;215.6194;7.0233;m;;
192;0;0;91.5589;215.6194;7.4295;m;;
193;0;0;91.5589;215.6195;7.9058;m;;
194;0;0;91.5589;215.6195;6.9025;m;;
195;0;0;91.5589;215.6195;6.5698;m;;
196;0;0;91.432;215.6196;7.79;m;;
197;0;0;91.432;215.6196;7.0448;m;;
198;0;0;91.3551;215.6196;6.4605;m;;
199;0;0;91.3551;215.6197;7.8254;m;;
200;0;0;91.3551;215.6197;7.3;m;;
201;0;0;91.3551;215.6197;6.4256;m;;
202;0;0;91.1898;215.6197;6.5994;m;;
203;0;0;91.3939;215.6198;7.8451;m;;
204;0;0;91.3939;215.6198;6.4225;m;;
205;0;0;91.3939;215.6198;7.1719;m;;
206;0;0;91.3939;215.6199;7.8422;m;;
207;0;0;91.3102;215.6199;6.7896;m;;
208;0;0;91.3102;215.6199;6.7168;m;;
209;0;0;91.3102;215.62;8.0011;m;;
210;0;0;91.3102;215.62;6.9567;m;;
211;0;0;91.3102;215.62;7.8032;m;;
212;0;0;91.4461;215.6201;7.8444;m;;
213;0;0;91.4461;215.6201;6.1245;m;;
214;0;0;91.4461;215.6201;7.7948;m;;
215;0;0;91.4461;215.6202;7.3895;m;;
216;0;0;91.4461;215.6202;7.6053;m;;
217;0;0;91.3159;215.6202;6.4958;m;;
218;0;0;91.3309;215.6202;6.2976;m;;
